Id,Año,Mes,Punto de Muestreo,Color Max: 15 Ud: pl/mg,Olor,Sabor,Cloro Libre,Turbidez,pH,Conductividad,Temperatura , Dureza,Nitratos,Nitritos,Amonio,Cloruros,Fluor,Sodio,Aluminio,Trihalometanos,Oxidabilidad,Bacterías Coliformes,Enterococos,Gérmenes Totales a 22ºC,Escherichia coli,Clostridium perfringens,Pseudomonas aeruginosa,Calcio,Magnesio
"40,""2021"",""Marzo"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,52"",""0,52"",""8,0"",""222"",""10,1"",""111"",""2,4"",""<0,025"",""<0,15"",""4,6"",""0,15"",""2,7"",""0,015"",""0,03"",""0,7"",""0"",""0"",""0"",""0"",""0"",""0"",""35,3"",""4,5"""
"39,""2021"",""Febrero"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,46"",""1,26"",""8,0"",""212"",""10,0"",""106"",""2,3"",""<0,025"",""<0,15"",""5,2"",""0,14"",""2,8"",""0,070"",""0,03"",""1,3"",""0"",""0"",""4"",""0"",""0"",""0"",""33,7"",""4,2"""
"38,""2021"",""Enero"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,48"",""0,46"",""7,5"",""197"",""8,6"",""100"",""2,2"",""<0,025"",""<0,15"",""7,9"",""0,11"",""4,0"",""0,072"",""0,03"",""0,6"",""0"",""0"",""0"",""0"",""0"",""0"",""35,4"",""5,1"""
"37,""2020"",""Diciembre"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,49"",""0,24"",""7,2"",""175"",""10,5"",""106"",""2,0"",""<0,025"",""<0,15"",""7,3"",""0,13"",""3,7"",""0,066"",""0,03"",""0,5"",""0"",""0"",""4"",""0"",""0"",""0"",""40,0"",""5,2"""
"36,""2020"",""Noviembre"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,38"",""0,29"",""7,7"",""232"",""12,7"",""116"",""2,6"",""<0,025"",""<0,15"",""6,6"",""0,17"",""3,2"",""0,031"",""0,03"",""1,3"",""0"",""0"",""1"",""0"",""0"",""0"",""39,8"",""4,5"""
"35,""2020"",""Octubre"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,35"",""0,98"",""7,3"",""228"",""13,7"",""114"",""2,6"",""<0,025"",""<0,15"",""6,0"",""0,15"",""3,2"",""0,024"",""0,03"",""0,9"",""0"",""0"",""0"",""0"",""0"",""0"",""41,7"",""4,6"""
"34,""2020"",""Septiembre"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,44"",""0,87"",""7,4"",""184"",""16,3"",""92"",""1,8"",""<0,025"",""<0,15"",""5,7"",""0,13"",""2,6"",""0,083"",""0,03"",""0,5"",""0"",""0"",""0"",""0"",""0"",""0"",""36,5"",""3.5"""
"33,""2020"",""Agosto"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,57"",""0,41"",""7,8"",""195"",""16,2"",""120"",""1,9"",""<0,05"",""<0,25"",""5,6"",""0,14"",""2,8"",""0,042"",""0,03"",""0,1"",""0"",""0"",""1"",""0"",""0"",""0"",""37,3"",""4,6"""
"32,""2020"",""Julio"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,35"",""0,69"",""7,8"",""192"",""13,5"",""101"",""1,8"",""<0,05"",""<0,25"",""4,8"",""0,13"",""2,9"",""0,043"",""0,03"",""0,6"",""0"",""0"",""0"",""0"",""0"",""0"",""39,4"",""4,9"""
"31,""2020"",""Junio"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,48"",""0,70"",""7,8"",""192"",""9,5"",""95"",""2,0"",""<0,05"",""<0,25"",""5,5"",""0,10"",""3,2"",""0,067"",""0,03"",""0,2"",""0"",""0"",""1"",""0"",""0"",""0"",""40,2"",""4,9"""
